timestamp,daily_revenue,transactions,avg_basket
2026-01-05T00:00:00,7575.58,252,30.10
2026-01-06T00:00:00,7158.72,243,29.42
2026-01-07T00:00:00,7750.05,255,30.42
2026-01-08T00:00:00,7679.97,256,30.05
2026-01-09T00:00:00,7656.70,252,30.41
2026-01-10T00:00:00,10418.59,352,29.61
2026-01-11T00:00:00,10432.54,346,30.19
2026-01-12T00:00:00,7497.90,254,29.53
2026-01-13T00:00:00,7384.05,255,28.99
2026-01-14T00:00:00,7622.99,254,30.07
2026-01-15T00:00:00,7415.65,239,30.98
2026-01-16T00:00:00,7135.40,241,29.66
2026-01-17T00:00:00,10600.33,349,30.34
2026-01-18T00:00:00,10538.68,353,29.84
2026-01-19T00:00:00,7204.62,234,30.79
2026-01-20T00:00:00,7803.95,267,29.20
2026-01-21T00:00:00,6960.92,236,29.47
2026-01-22T00:00:00,7234.42,233,31.09
2026-01-23T00:00:00,7685.41,253,30.38
2026-01-24T00:00:00,10449.07,337,31.01
2026-01-25T00:00:00,9353.43,318,29.41
2026-01-26T00:00:00,7622.49,254,29.96
2026-01-27T00:00:00,6908.84,228,30.26
2026-01-28T00:00:00,7414.92,257,28.84
2026-01-29T00:00:00,7118.71,233,30.59
2026-01-30T00:00:00,7617.53,244,31.19
2026-01-31T00:00:00,10251.15,334,30.71
2026-02-01T00:00:00,9546.89,331,28.87
2026-02-02T00:00:00,6904.71,229,30.16
2026-02-03T00:00:00,7572.29,258,29.40
2026-02-04T00:00:00,7129.98,240,29.67
2026-02-05T00:00:00,6975.00,232,30.09
2026-02-06T00:00:00,7269.17,240,30.34
2026-02-07T00:00:00,9705.74,324,29.96
2026-02-08T00:00:00,9600.22,332,28.88
2026-02-09T00:00:00,6846.53,231,29.61
2026-02-10T00:00:00,6650.53,216,30.75
2026-02-11T00:00:00,7017.60,228,30.80
2026-02-12T00:00:00,6674.98,226,29.53
2026-02-13T00:00:00,6862.10,235,29.17
2026-02-14T00:00:00,9801.43,339,28.95
2026-02-15T00:00:00,9876.30,317,31.12
2026-02-16T00:00:00,7262.13,239,30.37
2026-02-17T00:00:00,6853.54,233,29.46
2026-02-18T00:00:00,6547.56,212,30.90
2026-02-19T00:00:00,6752.16,231,29.28
2026-02-20T00:00:00,7149.63,236,30.31
2026-02-21T00:00:00,9519.80,319,29.87
2026-02-22T00:00:00,9485.18,309,30.68
2026-02-23T00:00:00,6815.39,233,29.31
2026-02-24T00:00:00,6684.05,227,29.39
2026-02-25T00:00:00,6625.03,215,30.86
2026-02-26T00:00:00,6559.50,215,30.57
2026-02-27T00:00:00,6449.57,212,30.41
2026-02-28T00:00:00,9238.43,318,29.03
2026-03-01T00:00:00,9635.82,328,29.40
2026-03-02T00:00:00,6992.66,231,30.26
2026-03-03T00:00:00,6563.45,217,30.26
2026-03-04T00:00:00,6993.28,240,29.11
2026-03-05T00:00:00,7142.52,247,28.95
2026-03-06T00:00:00,6966.97,229,30.39
2026-03-07T00:00:00,8733.66,290,30.16
2026-03-08T00:00:00,9480.80,316,30.05
2026-03-09T00:00:00,6535.61,218,30.00
2026-03-10T00:00:00,6502.10,225,28.88
2026-03-11T00:00:00,6533.71,210,31.09
2026-03-12T00:00:00,6434.43,211,30.50
2026-03-13T00:00:00,6777.88,218,31.04
2026-03-14T00:00:00,9236.51,305,30.24
2026-03-15T00:00:00,8935.61,289,30.91
2026-03-16T00:00:00,6237.98,206,30.22
2026-03-17T00:00:00,6449.27,209,30.80
2026-03-18T00:00:00,6549.51,220,29.76
2026-03-19T00:00:00,6680.05,231,28.92
2026-03-20T00:00:00,6816.91,223,30.52
2026-03-21T00:00:00,8788.25,299,29.43
2026-03-22T00:00:00,8835.39,292,30.29
2026-03-23T00:00:00,6324.89,205,30.89
2026-03-24T00:00:00,6748.95,226,29.89
2026-03-25T00:00:00,6445.45,220,29.34
2026-03-26T00:00:00,6136.36,211,29.14
2026-03-27T00:00:00,6641.43,215,30.93
2026-03-28T00:00:00,8890.84,289,30.80
2026-03-29T00:00:00,8495.01,284,29.92
2026-03-30T00:00:00,6582.52,226,29.16
2026-03-31T00:00:00,6624.24,220,30.06
2026-04-01T00:00:00,6338.16,207,30.68
2026-04-02T00:00:00,6322.45,217,29.08
2026-04-03T00:00:00,6182.80,204,30.38
2026-04-04T00:00:00,8124.94,270,30.04
