timestamp,daily_revenue,transactions,avg_basket
2026-01-05T00:00:00,7158.13,241,29.72
2026-01-06T00:00:00,7531.84,255,29.55
2026-01-07T00:00:00,7562.25,261,28.92
2026-01-08T00:00:00,7058.02,245,28.78
2026-01-09T00:00:00,7501.14,262,28.60
2026-01-10T00:00:00,9430.81,316,29.81
2026-01-11T00:00:00,9716.51,340,28.56
2026-01-12T00:00:00,7218.30,241,29.99
2026-01-13T00:00:00,7267.12,242,30.09
2026-01-14T00:00:00,7046.87,244,28.88
2026-01-15T00:00:00,6936.85,230,30.15
2026-01-16T00:00:00,7510.42,256,29.39
2026-01-17T00:00:00,9431.88,330,28.54
2026-01-18T00:00:00,10305.70,348,29.59
2026-01-19T00:00:00,7033.73,237,29.66
2026-01-20T00:00:00,7066.13,248,28.51
2026-01-21T00:00:00,7224.31,238,30.41
2026-01-22T00:00:00,7857.75,271,29.03
2026-01-23T00:00:00,7427.95,251,29.55
2026-01-24T00:00:00,10028.69,352,28.47
2026-01-25T00:00:00,10497.49,355,29.54
2026-01-26T00:00:00,7619.26,266,28.65
2026-01-27T00:00:00,7379.15,245,30.07
2026-01-28T00:00:00,7857.87,277,28.33
2026-01-29T00:00:00,7493.33,251,29.88
2026-01-30T00:00:00,8053.92,269,29.92
2026-01-31T00:00:00,10664.09,372,28.66
2026-02-01T00:00:00,10012.88,341,29.39
2026-02-02T00:00:00,7935.87,260,30.55
2026-02-03T00:00:00,8100.33,281,28.85
2026-02-04T00:00:00,7922.45,272,29.08
2026-02-05T00:00:00,8026.39,283,28.38
2026-02-06T00:00:00,7506.63,256,29.37
2026-02-07T00:00:00,11048.90,374,29.51
2026-02-08T00:00:00,10734.93,369,29.10
2026-02-09T00:00:00,8405.31,291,28.87
2026-02-10T00:00:00,8317.30,290,28.69
2026-02-11T00:00:00,8137.28,273,29.86
2026-02-12T00:00:00,8067.11,271,29.76
2026-02-13T00:00:00,7994.94,266,30.08
2026-02-14T00:00:00,10745.04,370,29.07
2026-02-15T00:00:00,11721.77,397,29.56
2026-02-16T00:00:00,8487.73,297,28.55
2026-02-17T00:00:00,7776.08,272,28.62
2026-02-18T00:00:00,8460.71,290,29.20
2026-02-19T00:00:00,7950.93,270,29.47
2026-02-20T00:00:00,8194.59,271,30.27
2026-02-21T00:00:00,11053.33,381,29.00
2026-02-22T00:00:00,11378.55,393,28.95
2026-02-23T00:00:00,8389.74,293,28.63
2026-02-24T00:00:00,8214.92,269,30.52
2026-02-25T00:00:00,8291.60,287,28.87
2026-02-26T00:00:00,9016.58,297,30.37
2026-02-27T00:00:00,8206.12,268,30.59
2026-02-28T00:00:00,11513.40,379,30.39
2026-03-01T00:00:00,12295.06,409,30.08
2026-03-02T00:00:00,8639.57,299,28.88
2026-03-03T00:00:00,8610.08,296,29.08
2026-03-04T00:00:00,8293.66,273,30.41
2026-03-05T00:00:00,8966.92,306,29.35
2026-03-06T00:00:00,8359.12,285,29.31
2026-03-07T00:00:00,11727.58,392,29.89
2026-03-08T00:00:00,12455.01,437,28.51
2026-03-09T00:00:00,8646.92,304,28.42
2026-03-10T00:00:00,9091.09,319,28.52
2026-03-11T00:00:00,9054.71,313,28.94
2026-03-12T00:00:00,9377.99,325,28.88
2026-03-13T00:00:00,8934.96,313,28.57
2026-03-14T00:00:00,12612.04,432,29.21
2026-03-15T00:00:00,12316.09,410,30.01
2026-03-16T00:00:00,9547.94,323,29.58
2026-03-17T00:00:00,8751.72,294,29.72
2026-03-18T00:00:00,9644.35,317,30.46
2026-03-19T00:00:00,9120.92,319,28.59
2026-03-20T00:00:00,8930.75,305,29.26
2026-03-21T00:00:00,12926.35,446,29.00
2026-03-22T00:00:00,12136.94,409,29.71
2026-03-23T00:00:00,9586.15,328,29.23
2026-03-24T00:00:00,9704.01,333,29.17
2026-03-25T00:00:00,9769.55,332,29.42
2026-03-26T00:00:00,9109.09,305,29.82
2026-03-27T00:00:00,8890.19,305,29.19
2026-03-28T00:00:00,12496.19,431,29.00
2026-03-29T00:00:00,13490.22,448,30.10
2026-03-30T00:00:00,9392.59,329,28.59
2026-03-31T00:00:00,9764.15,330,29.57
2026-04-01T00:00:00,9419.33,319,29.56
2026-04-02T00:00:00,10100.15,355,28.46
2026-04-03T00:00:00,9905.09,344,28.82
2026-04-04T00:00:00,13830.97,452,30.57
