timestamp,force_N,emg_envelope_uV,hr_bpm,rpe
2026-04-18T09:30:00,221.13,31.91,70.3,
2026-04-18T09:30:01,225.37,45.55,72.3,
2026-04-18T09:30:02,211.06,52.06,78.7,
2026-04-18T09:30:03,208.59,87.63,73.8,
2026-04-18T09:30:04,208.03,52.85,73.4,
2026-04-18T09:30:05,203.0,53.77,76.4,
2026-04-18T09:30:06,8.23,7.1,78.5,
2026-04-18T09:30:07,9.6,4.43,74.3,
2026-04-18T09:30:08,9.86,6.69,74.4,
2026-04-18T09:30:09,8.79,6.18,78.9,
2026-04-18T09:30:10,230.34,62.71,76.2,
2026-04-18T09:30:11,213.11,68.09,72.0,
2026-04-18T09:30:12,214.21,58.48,73.0,
2026-04-18T09:30:13,207.66,49.96,71.5,
2026-04-18T09:30:14,204.53,76.28,74.0,
2026-04-18T09:30:15,198.3,67.21,74.4,
2026-04-18T09:30:16,11.29,4.79,75.7,
2026-04-18T09:30:17,9.65,2.93,74.0,
2026-04-18T09:30:18,13.4,7.7,72.2,
2026-04-18T09:30:19,9.43,4.6,75.1,
2026-04-18T09:30:20,218.03,48.4,70.5,
2026-04-18T09:30:21,219.65,72.47,72.9,
2026-04-18T09:30:22,216.21,61.9,76.3,
2026-04-18T09:30:23,205.61,59.04,75.7,
2026-04-18T09:30:24,204.46,68.51,75.7,
2026-04-18T09:30:25,201.64,42.98,74.0,
2026-04-18T09:30:26,11.65,4.21,76.5,
2026-04-18T09:30:27,11.01,6.42,76.1,
2026-04-18T09:30:28,11.33,7.95,74.3,
2026-04-18T09:30:29,11.01,5.69,76.2,
2026-04-18T09:30:30,219.36,67.54,71.5,9
2026-04-18T09:30:31,219.55,63.26,79.9,
2026-04-18T09:30:32,218.36,92.06,84.3,
2026-04-18T09:30:33,211.05,70.89,80.5,
2026-04-18T09:30:34,201.41,72.27,77.1,
2026-04-18T09:30:35,196.79,72.43,75.1,
2026-04-18T09:30:36,11.39,2.78,78.1,
2026-04-18T09:30:37,10.61,4.63,79.8,
2026-04-18T09:30:38,14.04,5.15,75.6,
2026-04-18T09:30:39,10.1,6.71,76.4,
2026-04-18T09:30:40,227.99,69.82,75.1,
2026-04-18T09:30:41,209.6,62.89,73.1,
2026-04-18T09:30:42,217.57,82.18,80.0,
2026-04-18T09:30:43,201.38,81.43,80.4,
2026-04-18T09:30:44,202.7,74.28,78.6,
2026-04-18T09:30:45,190.59,95.11,85.9,
2026-04-18T09:30:46,12.45,7.13,76.8,
2026-04-18T09:30:47,12.74,3.03,80.2,
2026-04-18T09:30:48,11.01,4.56,80.3,
2026-04-18T09:30:49,14.75,4.34,76.6,
2026-04-18T09:30:50,221.23,90.59,79.0,
2026-04-18T09:30:51,212.41,61.7,83.7,
2026-04-18T09:30:52,215.62,78.38,75.5,
2026-04-18T09:30:53,209.12,51.99,76.2,
2026-04-18T09:30:54,201.05,85.9,78.5,
2026-04-18T09:30:55,190.0,61.92,81.7,
2026-04-18T09:30:56,9.95,4.23,81.1,
2026-04-18T09:30:57,10.48,6.07,82.4,
2026-04-18T09:30:58,11.81,3.02,79.9,
2026-04-18T09:30:59,12.24,4.48,77.9,
2026-04-18T09:31:00,221.21,99.27,81.1,11
2026-04-18T09:31:01,199.76,54.76,78.9,
2026-04-18T09:31:02,199.36,69.07,77.4,
2026-04-18T09:31:03,207.78,79.42,84.7,
2026-04-18T09:31:04,199.79,89.6,77.3,
2026-04-18T09:31:05,196.96,87.46,79.3,
2026-04-18T09:31:06,12.0,6.38,78.6,
2026-04-18T09:31:07,14.46,2.56,79.2,
2026-04-18T09:31:08,10.22,6.88,82.0,
2026-04-18T09:31:09,11.7,8.06,77.6,
2026-04-18T09:31:10,219.56,66.57,84.0,
2026-04-18T09:31:11,208.42,92.4,85.1,
2026-04-18T09:31:12,213.48,95.36,85.2,
2026-04-18T09:31:13,193.65,90.87,82.5,
2026-04-18T09:31:14,193.19,80.4,76.9,
2026-04-18T09:31:15,192.17,98.15,84.2,
2026-04-18T09:31:16,9.67,6.43,79.6,
2026-04-18T09:31:17,11.76,4.26,79.1,
2026-04-18T09:31:18,10.41,3.86,80.5,
2026-04-18T09:31:19,10.68,4.51,79.7,
2026-04-18T09:31:20,212.25,60.24,84.5,
2026-04-18T09:31:21,208.76,75.19,82.1,
2026-04-18T09:31:22,207.6,78.8,84.4,
2026-04-18T09:31:23,201.31,86.82,81.1,
2026-04-18T09:31:24,188.72,97.63,82.0,
2026-04-18T09:31:25,185.21,90.89,87.9,
2026-04-18T09:31:26,7.78,5.67,83.0,
2026-04-18T09:31:27,11.24,5.88,84.7,
2026-04-18T09:31:28,11.33,3.32,85.1,
2026-04-18T09:31:29,11.97,2.48,85.0,
2026-04-18T09:31:30,207.89,104.8,84.0,11
2026-04-18T09:31:31,213.15,103.87,86.4,
2026-04-18T09:31:32,203.85,102.2,83.4,
2026-04-18T09:31:33,197.07,102.34,82.6,
2026-04-18T09:31:34,193.53,96.94,79.8,
2026-04-18T09:31:35,182.32,74.94,85.4,
2026-04-18T09:31:36,11.69,5.07,87.7,
2026-04-18T09:31:37,10.5,2.99,79.2,
2026-04-18T09:31:38,10.26,7.17,82.9,
2026-04-18T09:31:39,10.85,3.93,86.6,
2026-04-18T09:31:40,216.59,97.65,82.0,
2026-04-18T09:31:41,205.09,114.91,85.3,
2026-04-18T09:31:42,205.99,96.58,84.0,
2026-04-18T09:31:43,196.21,100.94,86.5,
2026-04-18T09:31:44,202.48,107.65,85.2,
2026-04-18T09:31:45,190.35,98.63,84.7,
2026-04-18T09:31:46,11.65,2.91,86.7,
2026-04-18T09:31:47,8.6,3.24,87.8,
