timestamp,force_N,emg_envelope_uV,hr_bpm,rpe
2026-04-18T09:30:00,211.87,59.02,74.4,
2026-04-18T09:30:01,204.02,74.8,72.9,
2026-04-18T09:30:02,207.13,53.93,73.8,
2026-04-18T09:30:03,194.67,15.99,74.1,
2026-04-18T09:30:04,192.47,37.71,77.6,
2026-04-18T09:30:05,193.28,53.97,73.4,
2026-04-18T09:30:06,9.49,6.27,73.1,
2026-04-18T09:30:07,13.32,2.63,74.1,
2026-04-18T09:30:08,10.44,5.15,71.4,
2026-04-18T09:30:09,13.68,4.82,72.4,
2026-04-18T09:30:10,214.84,67.0,75.0,
2026-04-18T09:30:11,199.08,65.28,70.1,
2026-04-18T09:30:12,207.72,41.08,74.8,
2026-04-18T09:30:13,202.31,50.02,71.7,
2026-04-18T09:30:14,203.17,69.31,77.6,
2026-04-18T09:30:15,185.9,33.34,73.7,
2026-04-18T09:30:16,11.05,6.65,73.7,
2026-04-18T09:30:17,10.65,7.86,75.7,
2026-04-18T09:30:18,11.05,3.46,78.7,
2026-04-18T09:30:19,9.12,6.1,73.9,
2026-04-18T09:30:20,219.52,59.76,75.2,
2026-04-18T09:30:21,212.13,60.22,74.8,
2026-04-18T09:30:22,196.72,43.66,75.1,
2026-04-18T09:30:23,193.35,51.51,75.7,
2026-04-18T09:30:24,183.85,67.84,70.9,
2026-04-18T09:30:25,192.31,63.94,76.5,
2026-04-18T09:30:26,10.91,6.02,79.7,
2026-04-18T09:30:27,12.53,6.34,76.5,
2026-04-18T09:30:28,11.94,6.44,81.0,
2026-04-18T09:30:29,11.33,2.19,81.5,
2026-04-18T09:30:30,215.75,60.14,79.3,9
2026-04-18T09:30:31,196.15,75.33,71.5,
2026-04-18T09:30:32,195.66,66.88,75.7,
2026-04-18T09:30:33,187.12,73.55,77.5,
2026-04-18T09:30:34,192.66,78.06,76.8,
2026-04-18T09:30:35,187.51,81.62,81.9,
2026-04-18T09:30:36,9.64,3.47,81.2,
2026-04-18T09:30:37,13.35,3.99,79.8,
2026-04-18T09:30:38,9.25,6.19,79.8,
2026-04-18T09:30:39,11.1,5.05,78.2,
2026-04-18T09:30:40,208.5,62.72,81.6,
2026-04-18T09:30:41,200.11,69.06,79.0,
2026-04-18T09:30:42,193.96,60.9,79.1,
2026-04-18T09:30:43,193.96,84.56,78.4,
2026-04-18T09:30:44,186.33,77.61,78.9,
2026-04-18T09:30:45,187.7,80.91,86.9,
2026-04-18T09:30:46,8.7,6.71,79.3,
2026-04-18T09:30:47,12.79,5.17,78.0,
2026-04-18T09:30:48,12.83,4.42,80.1,
2026-04-18T09:30:49,10.45,5.48,78.3,
2026-04-18T09:30:50,209.24,90.67,75.7,
2026-04-18T09:30:51,205.54,65.68,80.4,
2026-04-18T09:30:52,202.41,81.72,78.6,
2026-04-18T09:30:53,198.04,86.04,79.6,
2026-04-18T09:30:54,190.83,76.71,76.7,
2026-04-18T09:30:55,186.17,84.36,77.9,
2026-04-18T09:30:56,5.51,4.16,81.5,
2026-04-18T09:30:57,9.31,4.72,80.5,
2026-04-18T09:30:58,9.15,2.22,82.1,
2026-04-18T09:30:59,9.21,4.24,82.6,
2026-04-18T09:31:00,212.37,77.62,80.4,11
2026-04-18T09:31:01,197.34,85.83,82.3,
2026-04-18T09:31:02,189.05,91.28,83.9,
2026-04-18T09:31:03,185.34,67.04,81.3,
2026-04-18T09:31:04,188.43,80.39,77.6,
2026-04-18T09:31:05,184.76,74.36,76.8,
2026-04-18T09:31:06,13.1,7.12,83.1,
2026-04-18T09:31:07,13.44,4.56,81.8,
2026-04-18T09:31:08,8.78,2.68,82.0,
2026-04-18T09:31:09,14.16,3.92,85.4,
2026-04-18T09:31:10,200.57,95.58,80.6,
2026-04-18T09:31:11,200.66,103.76,87.3,
2026-04-18T09:31:12,195.09,91.73,83.6,
2026-04-18T09:31:13,188.43,81.36,84.9,
2026-04-18T09:31:14,189.4,84.02,83.7,
2026-04-18T09:31:15,176.2,78.37,89.4,
2026-04-18T09:31:16,10.62,4.99,76.8,
2026-04-18T09:31:17,9.87,4.88,85.4,
2026-04-18T09:31:18,8.69,4.33,84.8,
2026-04-18T09:31:19,5.91,3.92,83.9,
2026-04-18T09:31:20,193.23,102.5,87.2,
2026-04-18T09:31:21,194.67,91.83,82.8,
2026-04-18T09:31:22,186.69,77.33,85.6,
2026-04-18T09:31:23,181.71,107.35,79.3,
2026-04-18T09:31:24,182.64,70.63,87.5,
2026-04-18T09:31:25,176.3,130.09,85.2,
2026-04-18T09:31:26,15.89,3.6,81.6,
2026-04-18T09:31:27,11.73,4.14,90.7,
2026-04-18T09:31:28,8.43,5.36,81.4,
2026-04-18T09:31:29,9.5,3.84,82.5,
2026-04-18T09:31:30,195.85,114.96,88.1,11
2026-04-18T09:31:31,187.28,99.7,81.8,
2026-04-18T09:31:32,191.43,87.91,89.1,
2026-04-18T09:31:33,190.28,99.0,83.0,
2026-04-18T09:31:34,192.51,94.66,89.3,
2026-04-18T09:31:35,170.17,113.2,84.9,
2026-04-18T09:31:36,7.79,7.02,83.8,
2026-04-18T09:31:37,12.58,4.25,83.8,
2026-04-18T09:31:38,14.05,6.02,89.1,
2026-04-18T09:31:39,11.96,2.57,87.0,
2026-04-18T09:31:40,200.01,103.71,87.2,
2026-04-18T09:31:41,198.33,104.43,85.5,
2026-04-18T09:31:42,186.37,91.68,88.8,
2026-04-18T09:31:43,186.67,108.19,86.5,
2026-04-18T09:31:44,164.13,95.03,88.0,
2026-04-18T09:31:45,170.28,115.4,85.1,
2026-04-18T09:31:46,12.77,3.88,89.9,
2026-04-18T09:31:47,13.64,3.79,84.9,
2026-04-18T09:31:48,10.86,3.95,89.4,
2026-04-18T09:31:49,12.78,6.22,86.6,
2026-04-18T09:31:50,206.95,106.25,92.0,
2026-04-18T09:31:51,192.84,110.92,86.2,
2026-04-18T09:31:52,192.87,115.63,85.8,
2026-04-18T09:31:53,188.76,91.74,87.8,
2026-04-18T09:31:54,179.9,105.21,85.3,
2026-04-18T09:31:55,163.99,101.49,87.7,
2026-04-18T09:31:56,12.56,7.55,88.7,
2026-04-18T09:31:57,10.53,2.3,88.4,
2026-04-18T09:31:58,9.04,4.13,88.9,
2026-04-18T09:31:59,11.15,6.68,87.7,
2026-04-18T09:32:00,190.84,126.72,88.9,12
2026-04-18T09:32:01,190.61,125.61,87.5,
2026-04-18T09:32:02,179.64,104.39,90.7,
2026-04-18T09:32:03,182.85,122.72,83.1,
2026-04-18T09:32:04,174.11,97.34,88.4,
2026-04-18T09:32:05,176.01,107.51,92.1,
2026-04-18T09:32:06,7.13,6.83,85.1,
2026-04-18T09:32:07,11.61,5.2,91.5,
2026-04-18T09:32:08,10.26,5.6,89.6,
2026-04-18T09:32:09,12.97,7.04,90.8,
2026-04-18T09:32:10,195.48,122.57,93.9,
2026-04-18T09:32:11,193.57,102.44,91.3,
2026-04-18T09:32:12,183.39,135.76,90.1,
2026-04-18T09:32:13,179.57,118.09,90.8,
2026-04-18T09:32:14,175.68,119.16,90.6,
2026-04-18T09:32:15,165.01,133.37,93.7,
2026-04-18T09:32:16,12.04,5.32,88.2,
2026-04-18T09:32:17,15.04,2.5,91.2,
2026-04-18T09:32:18,11.98,4.43,95.2,
2026-04-18T09:32:19,9.56,6.23,90.8,
2026-04-18T09:32:20,191.18,146.67,92.3,
2026-04-18T09:32:21,181.74,133.92,95.9,
2026-04-18T09:32:22,186.31,148.06,97.2,
2026-04-18T09:32:23,173.39,135.09,93.2,
2026-04-18T09:32:24,171.0,124.42,93.4,
2026-04-18T09:32:25,168.72,128.78,91.2,
2026-04-18T09:32:26,11.52,4.47,93.8,
2026-04-18T09:32:27,8.37,5.17,93.9,
2026-04-18T09:32:28,11.6,5.81,97.3,
2026-04-18T09:32:29,11.44,5.52,92.6,
2026-04-18T09:32:30,192.75,128.26,94.6,13
2026-04-18T09:32:31,199.46,137.84,95.7,
2026-04-18T09:32:32,178.87,147.63,91.4,
2026-04-18T09:32:33,183.49,121.8,94.7,
2026-04-18T09:32:34,171.6,105.1,95.3,
2026-04-18T09:32:35,164.56,114.9,93.2,
2026-04-18T09:32:36,10.7,6.45,94.3,
2026-04-18T09:32:37,11.47,6.06,92.1,
2026-04-18T09:32:38,12.16,6.97,93.3,
2026-04-18T09:32:39,16.03,6.85,97.4,
2026-04-18T09:32:40,179.51,148.1,92.9,
2026-04-18T09:32:41,186.62,152.38,96.7,
2026-04-18T09:32:42,179.46,119.33,97.2,
2026-04-18T09:32:43,179.33,148.62,97.8,
2026-04-18T09:32:44,163.91,145.98,98.5,
2026-04-18T09:32:45,166.92,145.2,99.0,
2026-04-18T09:32:46,8.94,5.31,98.9,
2026-04-18T09:32:47,9.67,8.61,98.4,
2026-04-18T09:32:48,11.8,4.04,94.2,
2026-04-18T09:32:49,9.43,1.67,93.7,
2026-04-18T09:32:50,180.08,128.69,97.1,
2026-04-18T09:32:51,182.22,132.57,98.2,
2026-04-18T09:32:52,162.99,152.44,96.2,
2026-04-18T09:32:53,164.36,153.13,94.7,
2026-04-18T09:32:54,172.33,126.34,97.0,
2026-04-18T09:32:55,162.26,144.09,97.8,
2026-04-18T09:32:56,9.2,1.91,93.0,
2026-04-18T09:32:57,9.68,5.11,93.4,
2026-04-18T09:32:58,10.22,4.99,94.3,
2026-04-18T09:32:59,9.6,5.46,98.6,
2026-04-18T09:33:00,185.13,138.99,100.8,13
2026-04-18T09:33:01,184.59,167.69,98.9,
2026-04-18T09:33:02,167.84,152.07,99.0,
2026-04-18T09:33:03,171.12,150.31,97.7,
2026-04-18T09:33:04,173.29,131.08,96.1,
2026-04-18T09:33:05,167.79,165.62,99.6,
2026-04-18T09:33:06,11.28,4.58,95.5,
2026-04-18T09:33:07,12.18,2.25,95.1,
2026-04-18T09:33:08,15.36,3.5,100.3,
2026-04-18T09:33:09,10.07,5.25,100.8,
2026-04-18T09:33:10,185.42,151.25,99.0,
2026-04-18T09:33:11,175.32,170.15,102.6,
2026-04-18T09:33:12,169.68,143.26,103.1,
2026-04-18T09:33:13,168.75,143.75,97.5,
2026-04-18T09:33:14,167.74,177.49,99.4,
2026-04-18T09:33:15,159.98,138.03,97.9,
2026-04-18T09:33:16,11.92,5.51,100.8,
2026-04-18T09:33:17,11.57,2.8,101.4,
2026-04-18T09:33:18,10.75,2.44,100.3,
2026-04-18T09:33:19,16.4,5.01,102.1,
2026-04-18T09:33:20,178.71,157.18,97.5,
2026-04-18T09:33:21,188.15,146.29,101.4,
2026-04-18T09:33:22,172.23,152.18,101.0,
2026-04-18T09:33:23,164.82,164.29,101.3,
2026-04-18T09:33:24,160.59,147.89,99.2,
2026-04-18T09:33:25,164.04,149.75,102.2,
2026-04-18T09:33:26,9.85,4.16,101.3,
2026-04-18T09:33:27,7.99,5.62,99.3,
2026-04-18T09:33:28,9.16,5.2,98.4,
2026-04-18T09:33:29,13.49,4.18,103.3,
2026-04-18T09:33:30,174.07,145.73,99.7,14
2026-04-18T09:33:31,167.6,177.48,102.5,
2026-04-18T09:33:32,177.5,174.59,103.5,
2026-04-18T09:33:33,170.0,171.56,99.6,
2026-04-18T09:33:34,155.42,161.39,102.3,
2026-04-18T09:33:35,171.37,164.81,101.8,
2026-04-18T09:33:36,9.72,8.72,103.1,
2026-04-18T09:33:37,8.97,3.83,100.0,
2026-04-18T09:33:38,8.31,7.55,99.8,
2026-04-18T09:33:39,10.55,5.76,102.6,
2026-04-18T09:33:40,180.85,143.02,104.8,
2026-04-18T09:33:41,176.19,150.65,105.4,
2026-04-18T09:33:42,176.92,149.82,103.7,
2026-04-18T09:33:43,173.21,173.42,100.5,
2026-04-18T09:33:44,161.37,153.38,101.4,
2026-04-18T09:33:45,152.91,180.43,107.4,
2026-04-18T09:33:46,11.05,5.48,103.4,
2026-04-18T09:33:47,8.14,5.01,102.6,
2026-04-18T09:33:48,8.94,3.23,107.4,
2026-04-18T09:33:49,11.45,3.3,103.9,
2026-04-18T09:33:50,170.94,162.45,101.9,
2026-04-18T09:33:51,169.26,168.84,96.1,
2026-04-18T09:33:52,165.71,161.14,105.6,
2026-04-18T09:33:53,165.53,180.81,105.3,
2026-04-18T09:33:54,162.56,172.72,107.1,
2026-04-18T09:33:55,154.99,169.12,104.6,
2026-04-18T09:33:56,10.74,6.66,105.6,
2026-04-18T09:33:57,10.99,7.0,103.2,
2026-04-18T09:33:58,11.51,3.2,105.4,
2026-04-18T09:33:59,8.58,3.07,104.0,
2026-04-18T09:34:00,174.68,190.98,103.9,16
2026-04-18T09:34:01,158.53,178.31,107.5,
2026-04-18T09:34:02,160.6,177.2,105.2,
2026-04-18T09:34:03,169.98,165.61,106.0,
2026-04-18T09:34:04,162.96,190.85,107.0,
2026-04-18T09:34:05,145.01,189.26,101.9,
2026-04-18T09:34:06,10.86,3.91,108.8,
2026-04-18T09:34:07,9.64,3.81,107.6,
2026-04-18T09:34:08,11.01,3.46,101.7,
2026-04-18T09:34:09,11.45,2.53,107.2,
2026-04-18T09:34:10,169.22,170.44,106.0,
2026-04-18T09:34:11,165.79,211.31,102.7,
2026-04-18T09:34:12,156.41,153.6,109.2,
2026-04-18T09:34:13,158.18,178.25,108.7,
2026-04-18T09:34:14,159.18,177.09,104.1,
2026-04-18T09:34:15,149.91,190.51,109.3,
2026-04-18T09:34:16,8.44,5.48,105.9,
2026-04-18T09:34:17,12.52,4.83,107.0,
2026-04-18T09:34:18,8.4,4.73,110.1,
2026-04-18T09:34:19,7.5,6.07,108.8,
2026-04-18T09:34:20,170.38,169.92,109.7,
2026-04-18T09:34:21,161.04,178.28,110.7,
