t_s,envelope_uV
0.000,88.8586
0.010,82.7708
0.020,86.7741
0.030,82.7004
0.040,82.7750
0.050,80.5957
0.060,85.9209
0.070,88.4817
0.080,81.6111
0.090,88.5989
0.100,89.1400
0.110,90.5550
0.120,86.1864
0.130,86.3413
0.140,84.7310
0.150,91.6742
0.160,85.2338
0.170,89.9407
0.180,89.9095
0.190,93.5881
0.200,91.3907
0.210,90.1535
0.220,82.5562
0.230,83.7027
0.240,92.1438
0.250,84.8840
0.260,89.3095
0.270,88.2353
0.280,83.6433
0.290,83.9894
0.300,92.6136
0.310,85.1961
0.320,92.5965
0.330,86.6129
0.340,91.0032
0.350,92.9737
0.360,84.6052
0.370,92.1161
0.380,93.6720
0.390,92.3424
0.400,92.9136
0.410,92.4978
0.420,86.2473
0.430,94.2497
0.440,86.5911
0.450,87.1980
0.460,90.7352
0.470,86.8036
0.480,87.1511
0.490,85.4893
0.500,87.1238
0.510,89.9134
0.520,93.0050
0.530,88.6551
0.540,89.5577
0.550,90.1250
0.560,86.8649
0.570,89.7588
0.580,81.8348
0.590,87.1633
0.600,84.3583
0.610,90.9672
0.620,87.2645
0.630,83.8179
0.640,84.9889
0.650,80.2538
0.660,84.6787
0.670,88.9335
0.680,90.8990
0.690,82.5884
0.700,88.7363
0.710,86.0958
0.720,79.4074
0.730,79.4219
0.740,83.9812
0.750,78.1374
0.760,84.7674
0.770,85.2060
0.780,83.1918
0.790,88.2311
0.800,78.1690
0.810,83.1550
0.820,78.2218
0.830,80.9879
0.840,80.8339
0.850,83.3718
0.860,85.0157
0.870,85.9607
0.880,82.5126
0.890,79.0049
0.900,81.7180
0.910,82.0875
0.920,77.1319
0.930,76.2388
0.940,86.0970
0.950,77.8860
0.960,84.4613
0.970,81.6202
0.980,85.4103
0.990,82.8436
1.000,75.3399
1.010,77.0632
1.020,78.1207
1.030,83.9466
1.040,85.5633
1.050,83.2915
1.060,77.6305
1.070,76.1019
1.080,74.3993
1.090,75.5169
1.100,84.5586
1.110,82.1728
1.120,83.6733
1.130,82.9675
1.140,81.3454
1.150,81.1862
1.160,82.2989
1.170,76.8392
1.180,84.7572
1.190,75.8505
1.200,83.4487
1.210,84.4435
1.220,77.4761
1.230,82.5586
1.240,86.7074
1.250,86.5954
1.260,84.2272
1.270,79.7821
1.280,82.4417
1.290,82.8442
1.300,84.4005
1.310,77.5917
1.320,77.8511
1.330,84.3180
1.340,80.0863
1.350,79.0472
1.360,78.9499
1.370,84.1696
1.380,78.8531
1.390,84.1281
1.400,87.9682
1.410,89.3367
1.420,85.8918
1.430,83.4518
1.440,85.1516
1.450,89.5815
1.460,83.2990
1.470,88.7174
1.480,90.0337
1.490,89.1500
1.500,85.1190
1.510,87.2428
1.520,91.2139
1.530,88.7632
1.540,88.4986
1.550,84.5579
1.560,89.3712
1.570,83.8612
1.580,92.2015
1.590,82.0705
1.600,82.5820
1.610,84.3985
1.620,87.4636
1.630,84.4966
1.640,88.0360
1.650,93.1744
1.660,94.2377
1.670,92.9389
1.680,87.0860
1.690,85.4519
1.700,87.9307
1.710,91.7202
1.720,89.3158
1.730,85.5799
1.740,89.5566
1.750,86.1076
1.760,83.9913
1.770,89.9265
1.780,93.1384
1.790,94.7012
1.800,87.2247
1.810,92.0807
1.820,93.2695
1.830,88.7334
1.840,84.1549
1.850,84.1327
1.860,92.6636
1.870,91.4057
1.880,87.4872
1.890,87.5259
1.900,94.7871
1.910,92.3485
1.920,91.0347
1.930,83.1344
1.940,89.3826
1.950,91.5327
1.960,88.2368
1.970,93.4620
1.980,84.1914
1.990,92.2588
2.000,90.2680
2.010,92.0852
2.020,89.4621
2.030,84.0055
2.040,87.4498
2.050,84.9344
2.060,86.1018
2.070,87.7899
2.080,85.3542
2.090,86.1821
2.100,86.3523
2.110,82.9112
2.120,81.2634
2.130,91.0101
2.140,83.1388
2.150,88.9558
2.160,83.3136
2.170,87.5733
2.180,86.1640
2.190,89.1320
2.200,82.0703
2.210,82.0266
2.220,78.0745
2.230,85.1207
2.240,82.8312
2.250,86.0683
2.260,84.8321
2.270,77.0383
2.280,84.9375
2.290,82.7965
2.300,85.4980
2.310,79.9265
2.320,82.3005
2.330,79.2746
2.340,76.6410
2.350,87.0825
2.360,79.2191
2.370,85.1450
2.380,85.7244
2.390,76.5449
2.400,77.7890
2.410,81.9189
2.420,76.6942
2.430,82.0226
2.440,84.6143
2.450,77.9153
2.460,82.0670
2.470,85.4540
2.480,85.0089
2.490,81.8077
2.500,85.1943
2.510,84.5150
2.520,79.6423
2.530,82.1296
2.540,86.1146
2.550,83.2964
2.560,84.2736
2.570,81.8247
2.580,84.7436
2.590,76.1098
2.600,84.5456
2.610,78.0758
2.620,84.7667
2.630,83.7604
2.640,80.0016
2.650,81.1403
2.660,82.4014
2.670,84.3627
2.680,77.1248
2.690,78.5484
2.700,83.0777
2.710,86.6484
2.720,78.0560
2.730,82.1454
2.740,77.4705
2.750,79.8179
2.760,79.5246
2.770,87.1536
2.780,80.9671
2.790,80.3242
2.800,85.5839
2.810,86.5270
2.820,89.0390
2.830,86.9538
2.840,82.2372
2.850,79.3134
2.860,89.2363
2.870,82.6913
2.880,84.6776
2.890,87.5904
2.900,88.5942
2.910,91.1814
2.920,81.2429
2.930,89.8059
2.940,86.5325
2.950,85.3973
2.960,90.8883
2.970,86.3296
2.980,86.7310
2.990,89.4208
3.000,87.2122
3.010,83.5633
3.020,88.8637
3.030,84.1875
3.040,88.4800
3.050,87.9570
3.060,89.9283
3.070,89.0975
3.080,86.9568
3.090,85.0901
3.100,91.6375
3.110,83.8951
3.120,94.8865
3.130,90.1536
3.140,88.6202
3.150,87.3181
3.160,90.2081
3.170,90.6858
3.180,88.1265
3.190,87.3936
3.200,89.9862
3.210,91.3401
3.220,87.2889
3.230,84.5582
3.240,94.0050
3.250,85.8232
3.260,93.2696
3.270,88.3558
3.280,88.4217
3.290,86.4281
3.300,93.5679
3.310,94.8756
3.320,93.7179
3.330,94.0663
3.340,93.6271
3.350,90.2375
3.360,91.4340
3.370,90.6191
3.380,86.2926
3.390,92.1534
3.400,92.9265
3.410,82.6718
3.420,83.1017
3.430,93.7854
3.440,93.2915
3.450,89.3261
3.460,91.5950
3.470,84.8101
3.480,87.4047
3.490,86.5758
3.500,84.8704
3.510,87.9242
3.520,90.5131
3.530,85.5571
3.540,88.4626
3.550,89.8870
3.560,80.4059
3.570,79.7947
3.580,85.2558
3.590,89.3719
3.600,89.0845
3.610,79.4956
3.620,85.7246
3.630,79.1214
3.640,88.0904
3.650,78.2614
3.660,78.8321
3.670,88.3537
3.680,83.8411
3.690,84.7580
3.700,86.1039
3.710,85.1766
3.720,79.5817
3.730,79.3320
3.740,86.7926
3.750,79.0722
3.760,81.5435
3.770,78.7596
3.780,84.3336
3.790,79.9686
3.800,84.0007
3.810,85.6503
3.820,85.3962
3.830,75.4910
3.840,77.2784
3.850,82.4052
3.860,75.9403
3.870,77.3448
3.880,85.9094
3.890,78.6571
3.900,85.6566
3.910,80.1047
3.920,80.5550
3.930,86.1020
3.940,85.4144
3.950,79.6194
3.960,83.4011
3.970,85.4579
3.980,81.2017
3.990,79.3938
4.000,83.3771
4.010,81.5603
4.020,86.5683
4.030,78.3134
4.040,76.6528
4.050,82.7039
4.060,76.5812
4.070,76.8405
4.080,82.8398
4.090,80.9232
4.100,83.6404
4.110,76.6949
4.120,79.5971
4.130,80.8168
4.140,82.0988
4.150,82.4296
4.160,78.3427
4.170,87.6270
4.180,80.1446
4.190,81.7198
4.200,87.3773
4.210,89.5275
4.220,85.1716
4.230,78.4838
4.240,84.3110
4.250,84.1959
4.260,86.5937
4.270,85.1688
4.280,90.8992
4.290,84.2551
4.300,91.4932
4.310,80.4235
4.320,90.9492
4.330,84.2553
4.340,89.9040
4.350,90.2000
4.360,82.0432
4.370,85.3863
4.380,88.2040
4.390,85.2363
4.400,92.8874
4.410,85.7247
4.420,88.7204
4.430,92.5760
4.440,83.2975
4.450,90.3775
4.460,87.8196
4.470,92.9986
4.480,85.7040
4.490,85.1715
4.500,87.9857
4.510,88.0838
4.520,92.7461
4.530,92.3399
4.540,91.8385
4.550,93.5323
4.560,88.7651
4.570,91.0837
4.580,85.8175
4.590,90.8431
4.600,93.5719
4.610,91.8558
4.620,85.4277
4.630,89.4713
4.640,87.9757
4.650,86.4331
4.660,85.7828
4.670,95.0264
4.680,89.4893
4.690,93.7661
4.700,84.6638
4.710,93.6636
4.720,85.1833
4.730,88.9412
4.740,86.2931
4.750,86.5502
4.760,91.4496
4.770,87.0088
4.780,91.3209
4.790,86.5771
4.800,93.2160
4.810,93.4713
4.820,94.5467
4.830,85.6895
4.840,84.1645
4.850,87.7174
4.860,89.3350
4.870,86.6421
4.880,88.4686
4.890,86.4410
4.900,92.8460
4.910,87.2634
4.920,87.3350
4.930,91.4045
4.940,85.3159
4.950,81.5428
4.960,86.2575
4.970,91.4299
4.980,81.9475
4.990,84.8985
5.000,81.5251
5.010,84.5906
5.020,82.9011
5.030,90.0970
5.040,86.8784
5.050,86.9350
5.060,89.9559
5.070,80.3956
5.080,82.1324
5.090,85.7375
5.100,82.8089
5.110,87.3871
5.120,78.3099
5.130,84.2622
5.140,77.9595
5.150,85.4209
5.160,87.0060
5.170,87.4780
5.180,80.6256
5.190,77.7048
5.200,77.5556
5.210,77.1193
5.220,80.0478
5.230,77.1023
5.240,79.9637
5.250,87.2985
5.260,77.1670
5.270,82.2440
5.280,86.4398
5.290,84.5929
5.300,85.6660
5.310,81.2149
5.320,83.8420
5.330,81.8647
5.340,80.0197
5.350,79.3301
5.360,81.3534
5.370,79.1337
5.380,85.0184
5.390,86.5254
5.400,77.0976
5.410,85.6080
5.420,76.6395
5.430,80.2020
5.440,85.9068
5.450,76.6047
5.460,77.3999
5.470,80.3885
5.480,76.6375
5.490,78.2215
5.500,81.2861
5.510,85.5854
5.520,77.7449
5.530,79.2069
5.540,77.8242
5.550,80.0444
5.560,80.1429
5.570,82.9027
5.580,77.4656
5.590,85.7118
5.600,81.4115
5.610,79.0734
5.620,78.1326
5.630,86.7382
5.640,78.6738
5.650,86.4557
5.660,84.9324
5.670,87.8354
5.680,90.1286
5.690,83.9553
5.700,85.0747
5.710,85.6647
5.720,85.7640
5.730,89.1142
5.740,91.1255
5.750,88.1103
5.760,90.0759
