t_s,force_N
0.000,66.597
0.010,67.841
0.020,68.045
0.030,71.428
0.040,67.108
0.050,68.433
0.060,68.490
0.070,69.601
0.080,71.531
0.090,71.149
0.100,65.212
0.110,66.981
0.120,65.664
0.130,69.090
0.140,67.253
0.150,70.209
0.160,65.773
0.170,66.640
0.180,65.805
0.190,67.931
0.200,69.946
0.210,67.698
0.220,67.768
0.230,71.334
0.240,68.948
0.250,67.199
0.260,67.398
0.270,67.783
0.280,66.487
0.290,68.001
0.300,69.340
0.310,70.667
0.320,65.992
0.330,68.120
0.340,65.278
0.350,64.998
0.360,67.285
0.370,71.663
0.380,66.017
0.390,68.533
0.400,67.668
0.410,69.111
0.420,66.575
0.430,66.821
0.440,65.063
0.450,68.565
0.460,69.501
0.470,71.560
0.480,70.992
0.490,65.503
0.500,70.411
0.510,67.106
0.520,65.007
0.530,67.099
0.540,70.390
0.550,65.615
0.560,65.678
0.570,67.297
0.580,65.196
0.590,70.297
0.600,70.177
0.610,68.919
0.620,68.046
0.630,67.880
0.640,71.550
0.650,71.454
0.660,65.363
0.670,69.690
0.680,66.887
0.690,66.643
0.700,69.703
0.710,65.778
0.720,68.873
0.730,70.364
0.740,66.942
0.750,68.202
0.760,66.121
0.770,66.056
0.780,68.875
0.790,68.629
0.800,66.605
0.810,70.341
0.820,70.818
0.830,71.527
0.840,65.442
0.850,69.693
0.860,67.495
0.870,70.858
0.880,67.808
0.890,70.853
0.900,65.412
0.910,64.960
0.920,67.078
0.930,71.035
0.940,70.763
0.950,69.587
0.960,69.539
0.970,71.307
0.980,66.668
0.990,69.585
1.000,69.644
1.010,67.839
1.020,68.216
1.030,70.153
1.040,65.170
1.050,71.139
1.060,65.314
1.070,71.486
1.080,66.621
1.090,69.945
1.100,68.626
1.110,67.775
1.120,70.097
1.130,71.073
1.140,71.031
1.150,67.402
1.160,69.167
1.170,68.591
1.180,66.255
1.190,69.565
1.200,65.983
1.210,70.728
1.220,71.415
1.230,71.360
1.240,67.279
1.250,66.001
1.260,66.075
1.270,70.193
1.280,64.992
1.290,66.913
1.300,66.110
1.310,67.885
1.320,68.973
1.330,70.258
1.340,66.562
1.350,70.303
1.360,69.556
1.370,69.700
1.380,66.065
1.390,68.936
1.400,69.743
1.410,71.424
1.420,68.062
1.430,68.808
1.440,64.777
1.450,70.214
1.460,65.684
1.470,65.788
1.480,64.718
1.490,70.744
1.500,68.064
1.510,65.194
1.520,64.851
1.530,69.560
1.540,66.619
1.550,64.767
1.560,68.765
1.570,67.395
1.580,66.010
1.590,69.347
1.600,65.293
1.610,71.280
1.620,66.450
1.630,70.861
1.640,67.518
1.650,66.654
1.660,65.384
1.670,65.207
1.680,69.487
1.690,67.966
1.700,70.407
1.710,69.648
1.720,66.285
1.730,69.749
1.740,67.771
1.750,69.712
1.760,65.309
1.770,70.315
1.780,66.746
1.790,70.224
1.800,69.423
1.810,65.758
1.820,68.180
1.830,70.766
1.840,71.253
1.850,68.853
1.860,68.150
1.870,66.801
1.880,64.801
1.890,65.114
1.900,67.043
1.910,70.719
1.920,71.008
1.930,67.542
1.940,65.957
1.950,65.084
1.960,67.849
1.970,71.058
1.980,70.966
1.990,67.153
2.000,69.293
2.010,67.083
2.020,67.611
2.030,67.898
2.040,65.462
2.050,65.248
2.060,64.633
2.070,69.536
2.080,68.060
2.090,69.164
2.100,65.379
2.110,65.884
2.120,69.549
2.130,69.739
2.140,65.843
2.150,68.405
2.160,65.421
2.170,66.692
2.180,64.916
2.190,68.302
2.200,65.603
2.210,68.266
2.220,67.392
2.230,66.912
2.240,69.554
2.250,70.952
2.260,69.982
2.270,65.813
2.280,64.585
2.290,68.424
2.300,69.164
2.310,68.437
2.320,65.322
2.330,65.516
2.340,70.626
2.350,65.138
2.360,65.450
2.370,71.160
2.380,68.997
2.390,70.807
2.400,70.185
2.410,64.781
2.420,65.350
2.430,70.760
2.440,64.807
2.450,67.220
2.460,66.328
2.470,67.209
2.480,65.330
2.490,66.826
2.500,68.962
2.510,68.709
2.520,67.364
2.530,70.875
2.540,68.811
2.550,70.995
2.560,69.461
2.570,69.962
2.580,68.689
2.590,67.702
2.600,65.168
2.610,64.416
2.620,68.415
2.630,70.569
2.640,68.834
2.650,70.193
2.660,68.730
2.670,64.877
2.680,64.864
2.690,70.154
2.700,66.276
2.710,69.845
2.720,65.115
2.730,65.797
2.740,66.004
2.750,70.258
2.760,68.265
2.770,68.064
2.780,64.352
2.790,70.112
2.800,70.464
2.810,68.504
2.820,67.854
2.830,65.190
2.840,70.374
2.850,70.283
2.860,68.543
2.870,67.864
2.880,71.014
2.890,67.826
2.900,69.530
2.910,69.344
2.920,64.596
2.930,68.895
2.940,64.815
2.950,65.119
2.960,66.203
2.970,67.439
2.980,69.715
2.990,67.328
3.000,64.393
3.010,64.371
3.020,68.530
3.030,68.295
3.040,70.892
3.050,66.386
3.060,67.972
3.070,70.771
3.080,64.948
3.090,65.413
3.100,67.407
3.110,70.765
3.120,68.934
3.130,68.349
3.140,64.989
3.150,66.729
3.160,70.125
3.170,65.605
3.180,66.801
3.190,64.798
3.200,64.137
3.210,70.424
3.220,70.603
3.230,66.302
3.240,64.519
3.250,65.488
3.260,65.594
3.270,69.097
3.280,68.178
3.290,65.890
3.300,65.062
3.310,66.404
3.320,67.311
3.330,68.366
3.340,69.240
3.350,64.770
3.360,69.621
3.370,67.438
3.380,67.264
3.390,65.053
3.400,64.151
3.410,70.678
3.420,65.247
3.430,70.161
3.440,64.769
3.450,67.771
3.460,70.355
3.470,64.877
3.480,65.644
3.490,68.418
3.500,67.696
3.510,64.916
3.520,70.222
3.530,69.178
3.540,64.582
3.550,67.905
3.560,67.272
3.570,66.085
3.580,67.267
3.590,69.074
3.600,66.383
3.610,69.791
3.620,67.530
3.630,64.775
3.640,64.589
3.650,65.522
3.660,69.137
3.670,70.434
3.680,70.463
3.690,64.270
3.700,68.861
3.710,65.217
3.720,69.494
3.730,69.208
3.740,65.964
3.750,67.970
3.760,70.250
3.770,70.430
3.780,70.519
3.790,70.218
3.800,67.079
3.810,68.243
3.820,67.808
3.830,70.170
3.840,64.301
3.850,70.505
3.860,63.932
3.870,69.060
3.880,68.160
3.890,65.054
3.900,67.400
3.910,67.897
3.920,69.646
3.930,70.139
3.940,67.413
3.950,66.790
3.960,66.059
3.970,66.741
3.980,65.555
3.990,69.400
4.000,68.613
4.010,66.512
4.020,67.491
4.030,68.014
4.040,68.184
