t_s,envelope_uV
0.000,79.1110
0.010,73.4579
0.020,74.6699
0.030,71.0190
0.040,71.4410
0.050,80.2865
0.060,72.3861
0.070,75.3536
0.080,75.2562
0.090,81.7813
0.100,76.7079
0.110,73.7714
0.120,77.3371
0.130,76.0359
0.140,81.5331
0.150,88.8855
0.160,88.5369
0.170,81.3427
0.180,74.3945
0.190,76.4091
0.200,82.0747
0.210,86.5752
0.220,81.9060
0.230,76.8040
0.240,89.9854
0.250,76.9210
0.260,86.4793
0.270,82.0288
0.280,87.7870
0.290,87.0550
0.300,86.3667
0.310,84.1681
0.320,81.4399
0.330,83.8579
0.340,76.8880
0.350,88.8929
0.360,76.0445
0.370,77.3031
0.380,84.6116
0.390,81.6276
0.400,83.3663
0.410,78.7408
0.420,83.2555
0.430,82.6952
0.440,82.3345
0.450,87.5599
0.460,80.6574
0.470,89.6430
0.480,90.2107
0.490,76.0595
0.500,90.0807
0.510,85.5830
0.520,78.8160
0.530,86.4213
0.540,86.7612
0.550,77.3818
0.560,75.8942
0.570,83.0720
0.580,87.3708
0.590,86.4409
0.600,72.7649
0.610,76.7943
0.620,75.7307
0.630,83.3513
0.640,78.1475
0.650,79.2564
0.660,75.4830
0.670,75.0750
0.680,84.2654
0.690,84.7468
0.700,80.7101
0.710,83.4639
0.720,71.9664
0.730,71.5461
0.740,84.0098
0.750,83.7118
0.760,71.4613
0.770,78.2915
0.780,68.8573
0.790,75.0050
0.800,78.8548
0.810,68.9261
0.820,68.9195
0.830,74.8461
0.840,67.2106
0.850,76.8702
0.860,67.0439
0.870,78.4323
0.880,80.7024
0.890,77.4416
0.900,74.5831
0.910,79.8174
0.920,74.4713
0.930,71.0018
0.940,64.7741
0.950,76.1934
0.960,71.7020
0.970,68.4882
0.980,77.3563
0.990,76.1832
1.000,77.6263
1.010,75.4012
1.020,78.0325
1.030,74.2328
1.040,68.7886
1.050,72.8278
1.060,75.0520
1.070,76.4463
1.080,72.8093
1.090,72.1557
1.100,68.2529
1.110,70.8815
1.120,68.4932
1.130,66.3825
1.140,71.0984
1.150,73.4670
1.160,76.6045
1.170,70.4199
1.180,73.5347
1.190,72.3886
1.200,74.7886
1.210,64.7657
1.220,76.6101
1.230,72.9083
1.240,79.9017
1.250,80.3737
1.260,72.9566
1.270,80.7483
1.280,78.9469
1.290,74.4530
1.300,67.1916
1.310,69.5433
1.320,76.3057
1.330,70.2362
1.340,74.1276
1.350,79.3646
1.360,76.6286
1.370,71.9163
1.380,71.0255
1.390,70.2693
1.400,82.2704
1.410,72.5613
1.420,79.5733
1.430,71.2441
1.440,83.5702
1.450,71.3580
1.460,84.1446
1.470,82.0968
1.480,80.7586
1.490,73.5018
1.500,86.6332
1.510,76.9367
1.520,83.6588
1.530,86.1189
1.540,79.7066
1.550,87.9153
1.560,87.8919
1.570,84.8901
1.580,77.2172
1.590,76.6740
1.600,84.1918
1.610,74.3406
1.620,86.9304
1.630,83.5867
1.640,77.3700
1.650,83.3446
1.660,84.8516
1.670,89.9885
1.680,88.7635
1.690,82.4142
1.700,85.5187
1.710,86.8584
1.720,77.4093
1.730,79.2725
1.740,90.3400
1.750,83.9220
1.760,80.3761
1.770,82.2599
1.780,89.7371
1.790,86.1364
1.800,80.6784
1.810,87.5055
1.820,85.9780
1.830,90.1391
1.840,87.1857
1.850,89.2619
1.860,87.6277
1.870,76.0693
1.880,75.8543
1.890,82.3200
1.900,75.5320
1.910,85.9645
1.920,86.0811
1.930,76.1389
1.940,79.4997
1.950,81.7685
1.960,87.5353
1.970,75.6681
1.980,84.4564
1.990,79.2562
2.000,76.5387
2.010,85.1493
2.020,87.3803
2.030,82.7847
2.040,81.9772
2.050,73.5482
2.060,81.4519
2.070,83.5725
2.080,78.3869
2.090,80.4598
2.100,78.8912
2.110,80.2090
2.120,83.4381
2.130,77.4527
2.140,75.4310
2.150,81.2532
2.160,69.4145
2.170,71.4400
2.180,75.8755
2.190,69.1026
2.200,80.6394
2.210,80.6052
2.220,80.2979
2.230,68.6769
2.240,78.1592
2.250,81.4030
2.260,79.5066
2.270,66.5647
2.280,73.9460
2.290,76.0030
2.300,73.1289
2.310,76.9420
2.320,79.1992
2.330,76.7661
2.340,65.8484
2.350,79.2494
2.360,66.6805
2.370,77.3007
2.380,77.8574
2.390,68.8609
2.400,67.2563
2.410,70.9698
2.420,69.4111
2.430,69.0596
2.440,79.3193
2.450,65.1790
2.460,77.3486
2.470,69.8472
2.480,72.5462
2.490,72.3413
2.500,71.7386
2.510,71.1375
2.520,71.6699
2.530,76.4885
2.540,71.0958
2.550,68.9475
2.560,74.0020
2.570,74.0534
2.580,74.9826
2.590,70.6934
2.600,75.4366
2.610,72.2319
2.620,70.7049
2.630,66.5731
2.640,78.0666
2.650,68.4863
2.660,73.2092
2.670,77.3547
2.680,71.4033
2.690,78.9353
2.700,80.4584
2.710,77.2333
2.720,81.6593
2.730,76.3401
2.740,80.3374
2.750,78.1346
2.760,67.7176
2.770,78.1045
2.780,75.3228
2.790,73.1650
2.800,79.9147
2.810,79.4411
2.820,69.1493
2.830,77.4761
2.840,70.9759
2.850,76.4579
2.860,83.6394
2.870,73.2480
2.880,77.5764
2.890,72.3444
2.900,84.8315
2.910,86.2161
2.920,75.1612
2.930,80.1531
2.940,77.2274
2.950,74.6656
2.960,76.5314
2.970,76.8764
2.980,75.2619
2.990,77.1932
3.000,78.3665
3.010,82.5583
3.020,86.8364
3.030,83.9991
3.040,85.6266
3.050,87.3607
3.060,88.3242
3.070,75.7070
3.080,87.6906
3.090,76.3766
3.100,82.2393
3.110,79.0561
3.120,90.1982
3.130,85.5138
3.140,82.7969
3.150,77.3807
3.160,76.0394
3.170,89.4247
3.180,82.9513
3.190,80.4044
3.200,87.4134
3.210,88.0786
3.220,89.4779
3.230,76.6033
3.240,80.1360
3.250,81.8995
3.260,78.3024
3.270,80.0541
3.280,86.0953
3.290,84.7420
3.300,87.0432
3.310,76.5618
3.320,81.0353
3.330,88.2710
3.340,85.8080
3.350,78.9916
3.360,84.5959
3.370,85.4066
3.380,80.3924
3.390,77.7541
3.400,84.7963
3.410,81.4043
3.420,81.4225
3.430,84.2841
3.440,85.7159
3.450,77.6000
3.460,76.3644
3.470,86.3729
