t_s,force_N
0.000,76.820
0.010,82.543
0.020,82.284
0.030,80.528
0.040,83.690
0.050,80.266
0.060,79.556
0.070,81.984
0.080,83.520
0.090,76.369
0.100,80.316
0.110,80.410
0.120,81.878
0.130,82.669
0.140,76.701
0.150,80.394
0.160,77.093
0.170,78.464
0.180,82.007
0.190,77.868
0.200,79.209
0.210,81.722
0.220,77.001
0.230,82.012
0.240,80.853
0.250,82.879
0.260,82.842
0.270,77.931
0.280,79.315
0.290,76.047
0.300,83.512
0.310,82.694
0.320,81.247
0.330,79.305
0.340,77.350
0.350,81.180
0.360,79.854
0.370,75.996
0.380,83.572
0.390,77.571
0.400,81.140
0.410,80.788
0.420,77.882
0.430,81.744
0.440,79.657
0.450,76.355
0.460,82.186
0.470,79.922
0.480,82.504
0.490,81.242
0.500,77.379
0.510,81.815
0.520,79.149
0.530,81.671
0.540,78.918
0.550,79.154
0.560,77.417
0.570,76.478
0.580,80.141
0.590,80.916
0.600,81.109
0.610,81.318
0.620,77.210
0.630,82.258
0.640,79.453
0.650,82.592
0.660,77.578
0.670,80.401
0.680,82.867
0.690,80.593
0.700,77.808
0.710,82.809
0.720,79.207
0.730,79.187
0.740,79.306
0.750,82.974
0.760,76.479
0.770,80.766
0.780,80.512
0.790,80.370
0.800,81.883
0.810,78.853
0.820,82.454
0.830,82.963
0.840,81.160
0.850,82.493
0.860,78.463
0.870,78.531
0.880,82.067
0.890,82.256
0.900,76.965
0.910,78.674
0.920,81.889
0.930,81.626
0.940,77.805
0.950,75.903
0.960,76.949
0.970,78.892
0.980,82.378
0.990,78.491
1.000,78.038
1.010,81.358
1.020,78.300
1.030,80.201
1.040,77.195
1.050,76.438
1.060,77.275
1.070,77.765
1.080,80.327
1.090,80.923
1.100,81.253
1.110,79.869
1.120,77.297
1.130,83.207
1.140,80.567
1.150,77.092
1.160,83.133
1.170,77.590
1.180,78.665
1.190,80.701
1.200,77.649
1.210,77.222
1.220,76.131
1.230,77.976
1.240,82.603
1.250,78.377
1.260,76.499
1.270,75.871
1.280,77.571
1.290,80.867
1.300,82.090
1.310,77.011
1.320,81.987
1.330,82.062
1.340,77.062
1.350,82.223
1.360,83.254
1.370,78.995
1.380,79.479
1.390,79.600
1.400,76.810
1.410,83.249
1.420,83.286
1.430,75.623
1.440,75.546
1.450,80.955
1.460,79.786
1.470,79.710
1.480,75.515
1.490,83.026
1.500,76.310
1.510,77.544
1.520,81.071
1.530,76.287
1.540,81.981
1.550,78.671
1.560,81.617
1.570,76.034
1.580,76.640
1.590,77.431
1.600,82.168
1.610,79.518
1.620,81.503
1.630,80.762
1.640,77.450
1.650,77.792
1.660,76.164
1.670,82.167
1.680,79.923
1.690,80.982
1.700,81.795
1.710,78.159
1.720,78.509
1.730,79.123
1.740,75.839
1.750,75.545
1.760,77.845
1.770,81.932
1.780,81.456
1.790,78.871
1.800,79.056
1.810,82.635
1.820,81.234
1.830,81.781
1.840,80.289
1.850,76.746
1.860,75.970
1.870,80.513
1.880,75.644
1.890,80.427
1.900,79.895
1.910,78.759
1.920,77.971
1.930,75.581
1.940,78.281
1.950,75.520
1.960,77.854
1.970,82.895
1.980,82.332
1.990,77.983
2.000,82.415
2.010,79.658
2.020,81.546
2.030,79.748
2.040,81.188
2.050,80.440
2.060,79.024
2.070,81.467
2.080,78.155
2.090,76.160
2.100,81.569
2.110,83.012
2.120,78.107
2.130,75.217
2.140,81.727
2.150,77.739
2.160,76.194
2.170,82.878
2.180,81.248
2.190,77.625
2.200,80.113
2.210,80.034
2.220,82.224
2.230,75.926
2.240,80.665
2.250,78.522
2.260,81.565
2.270,81.377
2.280,76.052
2.290,82.528
2.300,75.507
2.310,75.688
2.320,81.187
2.330,80.132
2.340,80.021
2.350,77.670
2.360,82.568
2.370,80.428
2.380,79.234
2.390,78.069
2.400,77.299
2.410,82.682
2.420,77.093
2.430,77.056
2.440,82.351
2.450,76.851
2.460,76.358
2.470,78.057
2.480,75.242
2.490,78.914
2.500,82.598
2.510,79.851
2.520,82.688
2.530,77.135
2.540,78.965
2.550,82.306
2.560,82.598
2.570,76.759
2.580,76.033
2.590,76.133
2.600,78.372
2.610,82.486
2.620,81.238
2.630,78.738
2.640,80.936
2.650,79.161
2.660,77.486
2.670,82.776
2.680,78.223
2.690,75.064
2.700,80.491
2.710,75.489
2.720,76.562
2.730,76.323
2.740,75.973
2.750,81.806
2.760,82.383
2.770,78.412
2.780,80.032
2.790,79.502
2.800,74.932
2.810,76.286
2.820,79.521
2.830,78.649
2.840,78.588
2.850,77.370
2.860,78.094
2.870,78.990
2.880,79.365
2.890,80.846
2.900,79.828
2.910,80.841
2.920,74.873
2.930,78.958
2.940,77.991
2.950,76.362
2.960,77.763
2.970,74.831
2.980,79.094
2.990,82.335
3.000,79.167
3.010,80.843
3.020,76.700
3.030,77.309
3.040,75.314
3.050,75.655
3.060,77.251
3.070,81.277
3.080,74.882
3.090,75.562
3.100,75.904
3.110,79.816
3.120,81.053
3.130,75.895
3.140,77.266
3.150,76.877
3.160,79.427
3.170,81.839
3.180,78.113
3.190,75.279
3.200,79.859
3.210,77.878
3.220,80.209
3.230,79.519
3.240,76.674
3.250,79.439
3.260,79.961
3.270,81.869
3.280,77.841
3.290,75.070
3.300,78.339
3.310,82.250
3.320,79.296
3.330,76.790
3.340,80.662
3.350,78.263
3.360,77.121
3.370,82.622
3.380,78.439
3.390,76.789
3.400,80.824
3.410,79.770
3.420,78.308
3.430,75.109
3.440,78.616
3.450,76.049
3.460,80.682
3.470,74.853
3.480,75.356
3.490,78.402
3.500,77.252
3.510,79.558
3.520,79.704
3.530,81.227
3.540,77.190
3.550,79.839
3.560,78.615
3.570,80.450
3.580,80.778
3.590,76.263
3.600,80.946
3.610,77.906
3.620,76.851
3.630,76.945
3.640,77.369
3.650,81.693
3.660,81.870
3.670,78.947
3.680,81.231
3.690,82.111
3.700,81.816
3.710,75.767
3.720,78.406
3.730,79.053
3.740,76.881
3.750,81.388
3.760,77.441
3.770,78.171
3.780,79.339
3.790,78.193
3.800,77.328
3.810,75.031
3.820,75.850
3.830,80.735
3.840,75.180
3.850,74.604
3.860,80.317
3.870,77.994
3.880,78.047
3.890,80.725
3.900,82.082
3.910,81.863
3.920,78.808
3.930,81.464
3.940,78.127
3.950,82.038
3.960,76.283
3.970,77.899
3.980,77.339
3.990,78.798
4.000,81.194
4.010,78.919
4.020,75.961
4.030,77.486
4.040,75.445
4.050,79.121
4.060,80.955
4.070,81.546
4.080,75.149
4.090,74.882
4.100,78.085
4.110,75.727
4.120,77.026
4.130,81.119
4.140,80.899
4.150,79.920
4.160,81.489
4.170,80.700
4.180,82.174
4.190,77.945
4.200,78.035
4.210,78.988
4.220,74.749
4.230,77.486
4.240,78.468
4.250,79.068
4.260,76.593
4.270,79.300
4.280,75.480
4.290,75.543
4.300,76.355
4.310,81.464
4.320,80.523
4.330,76.070
4.340,80.225
4.350,80.742
4.360,77.784
4.370,75.668
4.380,76.215
4.390,78.151
4.400,81.133
4.410,77.204
4.420,78.947
4.430,77.960
4.440,81.824
4.450,75.320
4.460,80.396
4.470,80.824
4.480,77.248
4.490,74.778
4.500,77.792
4.510,81.390
4.520,74.837
4.530,78.682
4.540,80.358
4.550,76.472
4.560,79.488
4.570,78.701
4.580,80.001
4.590,77.605
4.600,74.234
4.610,78.073
4.620,78.897
4.630,75.592
4.640,76.257
4.650,77.936
4.660,82.114
4.670,78.682
4.680,77.313
4.690,80.780
4.700,75.544
4.710,78.686
4.720,75.699
4.730,79.566
4.740,75.618
4.750,75.184
4.760,75.612
4.770,78.268
4.780,74.395
4.790,80.501
4.800,78.926
4.810,81.008
4.820,76.309
4.830,76.272
4.840,80.453
4.850,77.099
4.860,78.912
4.870,79.982
4.880,76.449
4.890,74.747
4.900,79.385
4.910,81.529
4.920,80.583
4.930,75.280
4.940,78.786
4.950,76.533
4.960,77.836
4.970,78.755
4.980,75.722
4.990,80.274
5.000,81.164
5.010,74.887
5.020,81.918
5.030,81.963
5.040,79.388
5.050,81.163
5.060,76.855
5.070,77.047
5.080,74.007
5.090,76.614
5.100,74.909
5.110,80.330
5.120,77.477
5.130,78.047
5.140,81.832
5.150,79.130
5.160,77.441
5.170,74.685
5.180,80.186
5.190,77.225
5.200,79.337
5.210,74.941
5.220,80.321
5.230,80.130
5.240,81.130
5.250,80.811
5.260,80.767
5.270,75.633
5.280,81.006
5.290,79.618
5.300,80.011
5.310,77.383
5.320,75.335
5.330,77.645
5.340,81.727
5.350,75.266
5.360,80.021
5.370,80.585
5.380,80.487
5.390,79.072
5.400,78.776
5.410,74.040
5.420,73.874
5.430,75.086
5.440,77.183
5.450,80.981
5.460,78.948
5.470,74.943
5.480,81.436
5.490,80.620
5.500,76.308
5.510,74.884
5.520,74.212
5.530,76.384
5.540,74.549
5.550,80.248
5.560,79.561
5.570,74.954
5.580,75.304
5.590,79.694
5.600,77.484
5.610,80.244
5.620,80.971
5.630,80.088
5.640,76.994
5.650,76.691
5.660,76.991
5.670,79.419
5.680,74.121
5.690,74.595
5.700,74.589
5.710,74.752
5.720,80.553
5.730,77.642
5.740,80.136
5.750,78.382
5.760,77.348
5.770,76.119
5.780,74.297
5.790,81.052
5.800,79.621
5.810,75.734
5.820,79.187
5.830,81.696
5.840,73.837
5.850,73.923
5.860,76.121
5.870,73.829
5.880,74.074
5.890,79.261
5.900,77.568
5.910,78.966
5.920,77.984
5.930,78.072
5.940,76.282
5.950,77.379
5.960,80.502
5.970,75.058
5.980,74.843
5.990,75.503
6.000,74.294
6.010,80.701
6.020,78.610
6.030,74.760
6.040,74.859
6.050,78.970
6.060,78.266
6.070,77.113
6.080,77.298
6.090,74.931
6.100,73.914
6.110,76.060
6.120,76.963
6.130,80.728
6.140,77.512
6.150,81.360
6.160,78.348
6.170,78.269
6.180,79.509
