t_s,envelope_uV
0.000,62.5118
0.010,60.8312
0.020,67.0415
0.030,62.7532
0.040,65.6920
0.050,65.3502
0.060,66.7892
0.070,63.2928
0.080,63.3195
0.090,62.7438
0.100,69.6310
0.110,64.2052
0.120,70.1321
0.130,59.6050
0.140,71.8329
0.150,64.4121
0.160,69.5981
0.170,65.3599
0.180,64.9431
0.190,68.4694
0.200,62.2788
0.210,69.1894
0.220,69.2414
0.230,64.8995
0.240,68.7432
0.250,67.8450
0.260,65.6896
0.270,68.6336
0.280,62.1221
0.290,64.8723
0.300,63.0674
0.310,62.7468
0.320,67.2917
0.330,65.7278
0.340,67.3613
0.350,70.8655
0.360,68.5248
0.370,67.0566
0.380,72.4576
0.390,70.6622
0.400,68.3379
0.410,72.0476
0.420,61.9432
0.430,72.3650
0.440,68.7207
0.450,62.2333
0.460,69.4661
0.470,61.3280
0.480,71.5972
0.490,68.6605
0.500,68.9800
0.510,61.2364
0.520,61.0260
0.530,63.8293
0.540,64.5963
0.550,69.9100
0.560,62.6887
0.570,64.1344
0.580,67.8623
0.590,68.0373
0.600,68.8970
0.610,66.6528
0.620,61.2857
0.630,64.6385
0.640,65.6409
0.650,65.4778
0.660,66.3223
0.670,67.8284
0.680,58.9538
0.690,60.9788
0.700,67.3635
0.710,66.7666
0.720,58.6005
0.730,61.5440
0.740,56.9104
0.750,62.2438
0.760,61.3600
0.770,62.1911
0.780,60.4699
0.790,65.2700
0.800,65.4746
0.810,57.9655
0.820,67.0070
0.830,59.4656
0.840,54.5019
0.850,56.7562
0.860,61.0239
0.870,60.0558
0.880,61.3062
0.890,57.7074
0.900,54.5747
0.910,62.9894
0.920,60.2894
0.930,54.5306
0.940,53.6859
0.950,53.7208
0.960,52.9935
0.970,52.8684
0.980,59.9934
0.990,54.9461
1.000,56.9023
1.010,64.1590
1.020,60.7183
1.030,59.1424
1.040,61.4021
1.050,62.0355
1.060,60.2196
1.070,55.9692
1.080,56.1460
1.090,62.0039
1.100,64.4755
1.110,52.1904
1.120,60.0877
1.130,53.3551
1.140,63.5190
1.150,62.0645
1.160,53.3938
1.170,53.4673
1.180,64.2556
1.190,54.7023
1.200,55.4636
1.210,63.3132
1.220,53.6721
1.230,60.8867
1.240,56.9136
1.250,55.7723
1.260,58.5480
1.270,57.7112
1.280,55.6311
1.290,60.7458
1.300,64.6510
1.310,61.2292
1.320,56.6714
1.330,60.9831
1.340,63.2169
1.350,60.5915
1.360,56.2506
1.370,57.6554
1.380,67.1213
1.390,57.9152
1.400,59.2714
1.410,56.8380
1.420,59.8859
1.430,58.4348
1.440,63.7076
1.450,68.8104
