t_s,force_N
0.000,65.355
0.010,68.590
0.020,66.929
0.030,67.389
0.040,71.026
0.050,69.607
0.060,70.052
0.070,67.521
0.080,64.863
0.090,65.438
0.100,70.092
0.110,68.006
0.120,66.986
0.130,67.781
0.140,66.831
0.150,64.879
0.160,67.519
0.170,69.784
0.180,69.476
0.190,65.686
0.200,64.640
0.210,67.133
0.220,65.241
0.230,65.721
0.240,67.508
0.250,69.509
0.260,69.702
0.270,67.964
0.280,64.572
0.290,67.826
0.300,68.757
0.310,65.056
0.320,66.472
0.330,69.667
0.340,65.751
0.350,65.804
0.360,66.840
0.370,66.958
0.380,64.539
0.390,65.481
0.400,71.124
0.410,68.097
0.420,71.144
0.430,67.359
0.440,68.997
0.450,70.144
0.460,71.166
0.470,71.018
0.480,68.716
0.490,71.050
0.500,65.233
0.510,67.026
0.520,66.187
0.530,69.395
0.540,67.308
0.550,65.377
0.560,69.380
0.570,70.846
0.580,70.769
0.590,65.845
0.600,70.968
0.610,68.143
0.620,70.340
0.630,68.700
0.640,66.301
0.650,68.533
0.660,65.397
0.670,64.891
0.680,69.040
0.690,65.059
0.700,65.311
0.710,71.227
0.720,65.972
0.730,67.400
0.740,66.362
0.750,65.873
0.760,65.967
0.770,66.343
0.780,66.506
0.790,68.966
0.800,64.607
0.810,65.964
0.820,65.590
0.830,67.138
0.840,68.159
0.850,67.687
0.860,68.297
0.870,70.592
0.880,68.194
0.890,69.394
0.900,67.955
0.910,65.987
0.920,68.492
0.930,70.184
0.940,66.498
0.950,71.084
0.960,65.924
0.970,67.778
0.980,69.269
0.990,67.372
1.000,69.446
1.010,67.928
1.020,70.492
1.030,67.886
1.040,69.756
1.050,64.453
1.060,69.585
1.070,64.904
1.080,67.671
1.090,69.027
1.100,70.158
1.110,67.258
1.120,64.947
1.130,67.464
1.140,70.596
1.150,69.182
1.160,67.725
1.170,70.499
1.180,67.934
1.190,65.173
1.200,65.469
1.210,67.976
1.220,66.872
1.230,66.046
1.240,70.056
1.250,69.774
1.260,68.918
1.270,64.634
1.280,70.893
1.290,64.908
1.300,66.666
1.310,70.960
1.320,68.783
1.330,70.450
1.340,68.817
1.350,64.797
1.360,68.284
1.370,65.784
1.380,69.449
1.390,67.158
1.400,66.604
1.410,67.098
1.420,68.921
1.430,69.817
1.440,67.718
1.450,64.333
1.460,65.539
1.470,68.356
1.480,64.942
1.490,68.637
1.500,65.851
1.510,65.191
1.520,66.097
1.530,70.224
1.540,69.842
1.550,69.562
1.560,64.515
1.570,64.978
1.580,67.509
1.590,69.318
1.600,69.606
1.610,65.175
1.620,66.349
1.630,68.917
1.640,65.657
1.650,66.267
1.660,69.237
1.670,67.669
1.680,64.234
1.690,68.989
1.700,70.886
1.710,67.119
1.720,65.147
1.730,65.019
1.740,67.537
1.750,70.552
1.760,69.835
1.770,68.042
1.780,69.986
1.790,70.503
1.800,65.376
1.810,67.532
1.820,66.131
1.830,67.577
1.840,67.595
1.850,68.062
1.860,68.328
1.870,66.224
1.880,70.435
1.890,64.661
1.900,70.786
1.910,65.092
1.920,65.996
1.930,68.359
1.940,67.608
1.950,68.617
1.960,64.565
1.970,69.890
1.980,65.695
1.990,66.665
2.000,67.193
2.010,66.735
2.020,67.272
2.030,70.751
2.040,69.777
2.050,68.984
2.060,64.844
2.070,65.610
2.080,67.519
2.090,68.576
2.100,67.071
2.110,69.604
2.120,68.564
2.130,68.101
2.140,68.213
2.150,68.170
2.160,68.782
2.170,65.953
2.180,65.402
2.190,65.041
2.200,66.968
2.210,67.708
2.220,65.773
2.230,66.052
2.240,67.119
2.250,70.675
2.260,65.287
2.270,68.663
2.280,69.243
2.290,66.962
2.300,64.277
2.310,66.380
2.320,65.936
2.330,65.548
2.340,64.701
2.350,65.338
2.360,66.491
2.370,64.267
2.380,67.407
2.390,65.290
2.400,65.590
2.410,66.973
2.420,65.223
2.430,69.184
2.440,68.559
2.450,69.647
2.460,66.953
2.470,69.726
2.480,70.569
2.490,67.839
2.500,66.944
2.510,68.647
2.520,70.719
2.530,70.385
2.540,65.503
2.550,70.126
2.560,66.615
2.570,65.104
2.580,65.284
2.590,70.302
2.600,70.049
2.610,67.437
2.620,70.713
2.630,68.363
2.640,64.037
2.650,68.954
2.660,66.210
2.670,70.079
2.680,67.732
2.690,66.259
2.700,69.053
2.710,65.236
2.720,70.728
2.730,67.843
2.740,66.090
2.750,69.630
2.760,66.664
2.770,65.294
2.780,65.353
2.790,64.738
2.800,70.659
2.810,66.155
2.820,64.104
2.830,69.473
2.840,69.275
2.850,70.553
2.860,70.020
2.870,65.688
2.880,65.240
2.890,66.388
2.900,64.349
2.910,66.234
2.920,65.449
2.930,64.572
2.940,70.489
2.950,64.667
2.960,64.653
2.970,66.266
2.980,64.873
2.990,65.030
3.000,63.984
3.010,66.380
3.020,66.207
3.030,68.352
3.040,69.519
3.050,67.865
3.060,64.984
3.070,66.570
3.080,67.974
3.090,67.436
3.100,70.618
3.110,68.790
3.120,69.787
3.130,70.300
3.140,68.876
3.150,64.716
3.160,67.603
3.170,69.244
3.180,68.258
3.190,67.278
3.200,67.702
3.210,67.564
3.220,68.356
3.230,67.568
3.240,70.276
3.250,64.527
3.260,66.802
3.270,66.341
3.280,70.223
3.290,65.343
3.300,67.169
3.310,67.161
3.320,69.790
3.330,66.247
3.340,70.042
3.350,66.724
3.360,67.296
3.370,67.960
3.380,64.250
3.390,65.572
3.400,64.214
3.410,69.766
3.420,70.333
3.430,64.366
3.440,70.311
3.450,68.529
3.460,69.531
3.470,64.689
3.480,63.765
3.490,69.916
3.500,68.138
3.510,66.604
3.520,70.374
3.530,63.791
3.540,69.746
3.550,67.392
3.560,65.061
3.570,66.473
3.580,64.749
3.590,66.986
3.600,65.488
3.610,68.810
3.620,63.901
3.630,69.336
3.640,68.959
3.650,69.928
3.660,66.590
3.670,66.312
3.680,68.261
3.690,68.345
3.700,68.155
3.710,64.231
3.720,68.541
3.730,70.311
3.740,70.409
3.750,65.580
3.760,65.857
3.770,65.939
3.780,67.703
3.790,64.935
3.800,67.181
3.810,69.149
3.820,65.722
3.830,69.928
3.840,68.361
3.850,63.738
3.860,65.228
3.870,65.535
3.880,66.798
3.890,65.528
3.900,66.695
3.910,69.003
3.920,64.056
3.930,65.641
3.940,69.664
3.950,64.579
3.960,64.215
3.970,68.105
3.980,65.735
3.990,67.684
4.000,65.564
4.010,64.143
4.020,68.666
4.030,66.731
4.040,70.353
4.050,65.853
4.060,67.012
4.070,68.584
4.080,64.205
4.090,66.934
4.100,69.766
4.110,64.240
4.120,67.703
4.130,67.611
4.140,64.620
4.150,64.324
4.160,64.820
4.170,70.055
4.180,68.120
4.190,66.124
4.200,63.708
4.210,65.222
4.220,70.244
4.230,68.144
4.240,64.475
4.250,70.132
4.260,64.241
4.270,64.875
4.280,68.295
4.290,70.331
4.300,64.874
4.310,65.292
4.320,66.055
4.330,63.740
4.340,68.803
4.350,64.800
4.360,65.688
4.370,67.597
4.380,66.280
4.390,66.324
4.400,64.644
4.410,68.274
4.420,69.309
4.430,64.005
4.440,68.537
4.450,69.170
4.460,68.071
4.470,64.841
4.480,66.820
4.490,68.798
4.500,63.571
4.510,66.127
4.520,70.074
4.530,63.782
4.540,64.523
4.550,68.571
4.560,65.761
4.570,67.765
4.580,64.231
4.590,68.090
4.600,67.246
4.610,67.963
4.620,66.444
4.630,66.551
4.640,67.705
4.650,65.790
4.660,70.203
4.670,63.859
4.680,69.509
4.690,66.600
4.700,63.943
4.710,69.852
4.720,67.746
4.730,68.834
4.740,68.473
4.750,66.953
4.760,64.978
4.770,65.674
4.780,66.251
4.790,68.760
4.800,66.236
4.810,65.983
4.820,69.468
4.830,66.918
4.840,64.513
4.850,63.982
4.860,65.299
4.870,65.153
4.880,65.788
4.890,68.871
4.900,67.839
4.910,65.191
4.920,64.552
4.930,68.337
4.940,63.699
4.950,66.114
4.960,63.553
4.970,67.072
4.980,64.203
4.990,64.619
5.000,64.706
5.010,65.380
5.020,68.875
5.030,64.231
5.040,68.931
5.050,64.288
5.060,69.878
5.070,66.147
5.080,64.369
5.090,65.059
5.100,68.129
5.110,67.516
5.120,63.454
5.130,65.193
5.140,66.596
5.150,64.948
5.160,67.282
5.170,66.021
5.180,66.045
5.190,69.095
5.200,63.697
5.210,67.605
5.220,63.531
5.230,67.876
5.240,65.740
5.250,69.782
5.260,64.694
5.270,63.955
5.280,69.099
5.290,65.114
5.300,66.125
5.310,64.398
5.320,68.960
5.330,68.063
5.340,63.367
5.350,68.610
5.360,65.127
5.370,67.743
5.380,66.725
5.390,66.911
5.400,68.043
5.410,64.795
5.420,67.670
5.430,65.540
5.440,69.676
5.450,63.940
5.460,64.950
5.470,63.545
5.480,68.581
5.490,64.218
5.500,66.199
5.510,67.666
5.520,64.847
5.530,69.029
5.540,69.349
