t_s,envelope_uV
0.000,75.2892
0.010,75.2781
0.020,74.3254
0.030,64.3382
0.040,66.4141
0.050,72.1317
0.060,72.7258
0.070,72.0985
0.080,66.5219
0.090,72.8114
0.100,79.7253
0.110,76.2165
0.120,66.2985
0.130,71.5937
0.140,69.9022
0.150,69.9493
0.160,68.9989
0.170,72.4313
0.180,74.9061
0.190,78.3916
0.200,74.5570
0.210,81.9175
0.220,70.2095
0.230,76.0466
0.240,71.0151
0.250,69.8705
0.260,82.2661
0.270,69.9341
0.280,72.5428
0.290,76.7784
0.300,72.5491
0.310,81.7436
0.320,75.2779
0.330,79.6584
0.340,71.9855
0.350,78.3358
0.360,77.6423
0.370,73.6985
0.380,77.5414
0.390,78.4846
0.400,78.2335
0.410,82.1684
0.420,80.0034
0.430,80.9605
0.440,74.5988
0.450,68.9459
0.460,78.8935
0.470,72.5990
0.480,77.2444
0.490,75.3014
0.500,77.3770
0.510,76.9556
0.520,76.5226
0.530,77.4972
0.540,70.5720
0.550,69.4656
0.560,73.0025
0.570,72.4556
0.580,70.8661
0.590,67.1704
0.600,68.0914
0.610,69.9278
0.620,67.6265
0.630,70.6941
0.640,71.5948
0.650,71.3042
0.660,72.3598
0.670,73.4768
0.680,75.3765
0.690,72.4238
0.700,67.8207
0.710,72.3730
0.720,68.6644
0.730,73.9820
0.740,71.7274
0.750,72.4081
0.760,75.0965
0.770,70.3703
0.780,70.9881
0.790,72.0039
0.800,63.1040
0.810,71.3662
0.820,73.7698
0.830,74.0438
0.840,67.3881
0.850,72.0226
0.860,74.2203
0.870,70.9219
0.880,61.1748
0.890,60.5894
0.900,73.4850
0.910,68.4300
0.920,67.0547
0.930,69.3485
0.940,65.8705
0.950,72.7527
0.960,65.3353
0.970,60.3715
0.980,67.2852
0.990,68.3065
1.000,65.8157
1.010,63.3627
1.020,61.8330
1.030,68.8525
1.040,61.3359
1.050,69.4796
1.060,64.9464
1.070,63.2619
1.080,58.2757
1.090,67.1988
1.100,71.0827
1.110,64.5703
1.120,63.2805
1.130,60.5944
1.140,62.1877
1.150,58.7263
1.160,68.5445
1.170,63.4621
1.180,69.8173
1.190,69.4061
1.200,72.8100
1.210,62.7935
1.220,72.4054
1.230,68.5868
1.240,63.1297
1.250,71.0677
1.260,60.9532
1.270,73.2173
1.280,69.0863
1.290,66.1011
1.300,67.9135
1.310,74.0533
1.320,73.1849
1.330,68.5801
1.340,68.9106
1.350,71.7448
1.360,66.7156
1.370,75.8244
1.380,64.2095
1.390,65.1745
1.400,69.0099
1.410,72.0780
1.420,77.2023
1.430,77.0712
