t_s,force_N
0.000,96.251
0.010,90.933
0.020,95.334
0.030,96.845
0.040,93.859
0.050,92.467
0.060,95.207
0.070,96.638
0.080,88.293
0.090,90.660
0.100,92.376
0.110,89.807
0.120,89.336
0.130,93.734
0.140,93.184
0.150,87.850
0.160,89.271
0.170,90.876
0.180,88.792
0.190,88.144
0.200,96.668
0.210,92.363
0.220,93.194
0.230,90.668
0.240,96.497
0.250,87.866
0.260,93.068
0.270,94.622
0.280,94.021
0.290,94.020
0.300,94.885
0.310,95.974
0.320,96.173
0.330,87.776
0.340,96.378
0.350,89.105
0.360,89.796
0.370,93.522
0.380,94.139
0.390,91.178
0.400,94.981
0.410,90.448
0.420,89.813
0.430,95.279
0.440,92.670
0.450,92.005
0.460,89.291
0.470,91.232
0.480,96.460
0.490,92.184
0.500,89.315
0.510,91.883
0.520,88.307
0.530,89.637
0.540,93.661
0.550,94.424
0.560,94.881
0.570,91.292
0.580,95.011
0.590,88.533
0.600,91.054
0.610,92.854
0.620,89.120
0.630,96.254
0.640,88.328
0.650,92.984
0.660,90.445
0.670,90.412
0.680,93.468
0.690,95.845
0.700,93.900
0.710,96.382
0.720,96.699
0.730,95.794
0.740,88.976
0.750,92.126
0.760,93.160
0.770,90.089
0.780,95.124
0.790,90.837
0.800,90.355
0.810,89.795
0.820,88.557
0.830,89.679
0.840,93.523
0.850,87.669
0.860,89.722
0.870,90.272
0.880,96.393
0.890,95.209
0.900,89.944
0.910,92.588
0.920,92.616
0.930,90.388
0.940,93.299
0.950,90.753
0.960,90.730
0.970,88.051
0.980,94.513
0.990,88.320
1.000,88.483
1.010,90.514
1.020,96.426
1.030,94.735
1.040,92.051
1.050,93.797
1.060,90.746
1.070,93.352
1.080,94.444
1.090,91.578
1.100,89.712
1.110,92.098
1.120,91.278
1.130,94.085
1.140,93.529
1.150,88.794
1.160,93.470
1.170,93.635
1.180,89.565
1.190,90.250
1.200,87.762
1.210,89.447
1.220,93.314
1.230,89.345
1.240,88.454
1.250,90.888
1.260,89.082
1.270,88.149
1.280,88.529
1.290,95.001
1.300,92.844
1.310,92.103
1.320,87.421
1.330,87.773
1.340,90.922
1.350,92.345
1.360,94.842
1.370,95.575
1.380,89.611
1.390,88.264
1.400,91.232
1.410,92.696
1.420,94.221
1.430,94.098
1.440,95.062
1.450,87.582
1.460,90.243
1.470,94.280
1.480,93.093
1.490,89.066
1.500,95.000
1.510,92.742
1.520,96.334
1.530,88.514
1.540,93.094
1.550,91.179
1.560,92.989
1.570,90.260
1.580,88.935
1.590,93.634
1.600,87.126
1.610,87.722
1.620,91.812
1.630,96.062
1.640,91.654
1.650,89.595
1.660,87.083
1.670,95.652
1.680,91.624
1.690,92.733
1.700,87.434
1.710,88.008
1.720,89.603
1.730,88.761
1.740,92.451
1.750,89.031
1.760,88.076
1.770,90.582
1.780,95.184
1.790,94.389
1.800,90.308
1.810,92.254
1.820,95.524
1.830,87.746
1.840,89.810
1.850,93.743
1.860,94.822
1.870,87.679
1.880,87.013
1.890,90.735
1.900,88.614
1.910,93.932
1.920,89.238
1.930,94.963
1.940,96.035
1.950,87.172
1.960,93.878
1.970,94.230
1.980,92.058
1.990,87.745
2.000,89.951
2.010,93.835
2.020,90.538
2.030,93.165
2.040,91.876
2.050,94.063
2.060,88.743
2.070,93.243
2.080,89.658
2.090,93.406
2.100,87.927
2.110,95.525
2.120,94.094
2.130,91.802
2.140,93.583
2.150,93.163
2.160,87.171
2.170,89.430
2.180,93.878
2.190,93.186
2.200,87.101
2.210,89.839
2.220,95.944
2.230,92.708
2.240,95.831
2.250,89.719
2.260,90.718
2.270,91.293
2.280,95.482
2.290,93.357
2.300,92.714
2.310,92.335
2.320,91.958
2.330,90.986
2.340,95.709
2.350,94.120
2.360,87.266
2.370,89.826
2.380,90.831
2.390,94.355
2.400,88.759
2.410,93.452
2.420,91.401
2.430,93.661
2.440,92.269
2.450,92.824
2.460,95.783
2.470,95.620
2.480,93.012
2.490,92.033
2.500,90.172
2.510,93.390
2.520,92.588
2.530,87.238
2.540,91.355
2.550,88.851
2.560,94.622
2.570,93.357
2.580,94.909
2.590,87.013
2.600,92.562
2.610,94.746
2.620,93.315
2.630,91.431
2.640,91.434
2.650,89.840
2.660,89.810
2.670,93.539
2.680,86.525
2.690,88.562
2.700,94.037
2.710,92.584
2.720,94.621
2.730,93.209
2.740,93.703
2.750,95.693
2.760,90.272
2.770,90.712
2.780,92.406
2.790,89.740
2.800,90.922
2.810,90.723
2.820,90.729
2.830,92.745
2.840,92.893
2.850,94.306
2.860,86.854
2.870,89.802
2.880,92.831
2.890,91.689
2.900,95.026
2.910,93.788
2.920,88.948
2.930,89.121
2.940,89.143
2.950,92.436
2.960,95.092
2.970,93.646
2.980,95.565
2.990,91.289
3.000,88.500
3.010,94.661
3.020,87.278
3.030,91.614
3.040,95.128
3.050,92.080
3.060,92.732
3.070,88.957
3.080,91.391
3.090,91.467
3.100,95.301
3.110,90.177
3.120,94.810
3.130,92.280
3.140,86.839
3.150,90.348
3.160,94.364
3.170,93.555
3.180,92.474
3.190,89.635
3.200,92.710
3.210,89.448
3.220,91.981
3.230,91.287
3.240,86.364
3.250,92.619
3.260,92.053
3.270,89.941
3.280,94.655
3.290,92.459
3.300,91.498
3.310,92.613
3.320,89.020
3.330,89.361
3.340,86.314
3.350,92.276
3.360,91.490
3.370,93.512
3.380,94.567
3.390,92.161
3.400,94.071
3.410,88.535
3.420,95.124
3.430,91.291
3.440,86.838
3.450,88.555
3.460,89.948
3.470,88.242
3.480,91.855
3.490,87.419
3.500,89.746
3.510,88.845
3.520,87.179
3.530,89.799
3.540,94.312
3.550,94.565
3.560,91.079
3.570,86.209
3.580,91.177
3.590,86.992
3.600,89.723
3.610,95.068
3.620,94.437
3.630,92.857
3.640,86.485
3.650,90.409
3.660,86.085
3.670,88.540
3.680,86.813
3.690,94.594
3.700,91.438
3.710,92.864
3.720,94.082
3.730,90.695
3.740,92.449
3.750,92.382
3.760,92.092
3.770,94.967
3.780,86.523
3.790,92.528
3.800,86.328
3.810,94.041
3.820,94.290
3.830,87.074
3.840,87.074
3.850,88.535
3.860,92.288
3.870,91.995
3.880,90.084
3.890,88.274
3.900,91.520
3.910,93.517
3.920,87.098
3.930,85.979
3.940,89.964
3.950,92.798
3.960,92.273
3.970,88.185
3.980,91.261
3.990,92.024
4.000,88.039
4.010,87.660
4.020,85.867
4.030,91.538
4.040,87.484
4.050,88.103
4.060,91.542
4.070,89.583
4.080,88.682
4.090,94.762
4.100,89.691
4.110,91.086
4.120,94.347
4.130,89.131
4.140,88.791
4.150,90.466
4.160,89.585
4.170,90.298
4.180,91.431
4.190,92.266
4.200,90.814
4.210,94.971
4.220,94.112
4.230,89.994
4.240,87.889
4.250,89.195
4.260,86.534
4.270,85.825
4.280,90.747
4.290,89.953
4.300,90.530
4.310,90.172
4.320,92.049
4.330,90.702
4.340,89.934
4.350,88.253
4.360,89.767
4.370,87.473
4.380,94.499
4.390,89.812
4.400,90.307
4.410,92.880
4.420,87.506
4.430,93.332
4.440,87.309
4.450,94.290
4.460,93.715
4.470,91.476
4.480,93.495
4.490,89.999
4.500,88.905
4.510,88.791
4.520,86.764
4.530,93.721
4.540,85.846
4.550,87.706
4.560,87.925
4.570,88.432
4.580,91.964
4.590,93.554
4.600,90.112
4.610,94.696
4.620,91.847
4.630,90.204
4.640,94.559
4.650,92.421
4.660,94.502
4.670,86.545
4.680,90.457
4.690,88.117
4.700,93.771
4.710,92.888
4.720,90.528
4.730,92.888
4.740,93.277
4.750,91.707
4.760,91.480
4.770,92.613
4.780,91.903
4.790,86.382
